source,target
19,60
19,585
19,649
19,650
19,683
19,693
58,2978
58,5599
58,3532
58,5377
58,1023
58,5006
58,5142
58,101
58,6577
58,6658
58,4294
58,6762
58,6763
60,19
60,1838
60,1886
60,8350
60,8643
60,8647
60,8651
60,10574
76,7933
76,7941
76,8434
76,8609
76,8934
76,9624
76,1594
76,2897
76,9914
76,5935
76,10195
76,11095
76,3719
76,11359
76,3130
76,11430
76,5386
76,11645
76,7970
76,12134
76,2843
76,13817
76,14051
76,1629
76,11936
76,9602
76,6577
76,14280
76,7459
76,13422
76,15247
76,15251
76,15253
76,15445
76,650
101,58
101,2504
101,2978
101,3561
101,8066
101,5386
101,8077
101,7644
101,7922
101,4830
189,8824
189,4766
189,6472
189,11300
189,11450
189,9294
189,13474
189,7098
189,7481
189,10043
189,8514
189,11453
189,10905
189,14302
189,7810
189,8015
189,11123
189,15326
189,8255
189,11118
189,6478
189,15327
189,15333
189,9716
189,6474
189,1105
189,13613
189,27428
189,27429
189,27629
189,22964
189,28546
189,29327
189,14784
189,29896
189,29599
189,31988
189,33043
189,33823
189,34595
189,34763
189,35734
189,5867
189,36626
189,36754
189,38157
189,38784
189,41067
189,42265
189,42384
189,43332
189,45326
189,45499
189,45696
189,47212
189,47222
189,19113
189,47985
189,47993
189,49207
189,34103
189,49767
189,40295
189,20419
189,3991
189,19292
189,56061
189,15732
189,62337
189,33662
189,62588
189,63019
189,65153
189,70396
189,68574
189,73611
189,73890
189,74006
189,74084
189,74818
189,4671
189,76084
189,76369
189,68360
189,76651
189,47448
189,77500
189,78873
189,23731
189,53938
189,23121
189,82859
189,57185
189,35436
189,86635
189,87521
189,87989
224,7789
224,7436
224,7516
224,5935
224,4157
224,3503
224,9364
224,9423
308,7724
308,4157
308,7737
483,19
483,5377
483,12766
483,3561
483,1050
483,3568
483,1023
585,19
585,1699
585,3561
585,6771
585,8514
585,12582
585,13222
585,19734
585,21021
585,22146
585,67633
585,86092
649,12993
649,15793
649,78617
649,109892
649,143417
650,1699
650,4595
650,14784
650,15974
650,16571
683,19289
683,1838
683,10574
683,3272
693,18269
693,18343
693,1594
693,17954
693,8413
693,12393
693,8647
796,30226
796,29832
796,29660
796,29721
796,29672
796,30141
796,28303
796,30153
796,29679
796,29531
796,28466
796,30321
796,29932
796,29529
796,29930
796,29849
796,29673
796,31041
974,1392
974,2625
974,5386
974,3503
974,12185
974,1629
974,7922
974,1441
974,8066
1000,1136
1000,3272
1000,4597
1000,4598
1000,5599
1000,16985
1000,19289
1000,20334
1000,23651
1000,24491
1000,24820
1000,24988
1000,41117
1021,585
1021,1022
1021,7933
1021,26607
1021,8934
1021,2504
1021,7970
1021,40807
1021,8077
1021,20221
1021,7459
1021,41290
1021,3072
1022,650
1022,585
1022,20293
1022,3977
1022,649
1022,26802
1022,22146
1022,27452
1022,27509
1022,27511
1022,5386
1022,25897
1022,3568
1022,27237
1022,20647
1022,29050
1022,29054
1022,6577
1022,9602
1022,23286
1022,27486
1022,8066
1022,12134
1022,20221
1022,5006
1022,7894
1022,15445
1022,2134
1023,58
1023,746
1023,1050
1023,1392
1023,5377
1023,8609
1023,25897
1023,12134
1023,20221
1023,2134
1023,23286
1023,6577
1023,22146
1023,2897
1023,15251
1023,15247
1023,7922
1050,2522
1050,3063
1050,4294
1050,18260
1050,22146
1050,25711
1050,28299
1105,189
1105,32704
1105,6478
1105,32654
1105,21806
1105,32406
1105,32576
1105,32446
1105,32397
1136,1000
1136,8246
1136,12393
1136,12582
1136,16985
1136,22687
1136,33842
1210,58
1210,8434
1210,3984
1210,4294
1210,4673
1273,26382
1273,5935
1392,1023
1392,974
1392,1210
1392,1699
1392,3532
1392,5935
1392,15974
1392,18803
1392,25855
1392,32150
1392,71950
1392,86306
1395,36841
1395,36903
1395,30153
1395,37132
1395,37926
1395,38010
1395,38128
1395,38203
1395,38282
1395,38473
1395,38532
1395,38548
1435,7991
1435,11320
1435,5935
1435,35512
1435,35549
1435,35916
1435,35860
1435,35918
1441,1000
1441,2978
1441,4294
1441,3072
1480,38096
1480,38030
1480,38090
1480,12781
1480,39189
1482,60
1482,1392
1482,1435
1482,39974
1482,40119
1482,40289
1482,2978
1482,2504
1482,9624
1482,7970
1482,40765
1482,40926
1482,8066
1482,3558
1482,13222
1482,41519
1482,27237
1482,41646
1482,41648
1482,8077
1482,12427
1482,9602
1482,15247
1482,13422
1482,42360
1482,3072
1482,3554
1594,693
1594,9624
1594,7970
1594,5386
1605,1136
1605,1838
1605,4597
1605,11359
1605,19289
1605,20419
1605,25244
1629,974
1629,3719
1629,13174
1699,650
1699,12022
1699,22146
1699,33461
1699,39661
1699,39596
1699,40085
1699,43078
1699,43516
1699,44612
1699,44261
1699,53592
1699,81816
1752,7481
1752,12889
1752,44996
1752,80996
1752,84655
1752,85521
1752,90962
1830,1629
1830,1891
1830,6228
1830,5867
1830,25994
1830,27428
1830,44671
1830,50666
1830,57648
1830,61611
1830,63994
1830,64596
1830,67449
1830,76109
1830,78778
1830,79204
1830,83168
1830,83174
1830,86635
1830,88853
1830,90682
1830,91045
1830,108392
1830,113119
1830,115596
1830,120100
1830,126804
1830,130136
1830,134211
1830,135249
1830,142532
1830,149546
1838,60
1838,683
1838,1605
1838,43425
1838,10574
1838,20334
1838,25248
1886,60
1886,2625
1886,20419
1886,12427
1886,3561
1888,746
1888,1392
1888,26802
1888,50051
1888,43162
1888,11359
1888,27509
1888,15445
1888,27486
1888,15247
1888,6577
1888,5895
1888,13222
1888,53129
1888,649
1888,18910
1888,8609
1888,2897
1888,17786
1888,2625
1888,53824
1891,2522
1891,3991
1891,79373
1891,66026
1891,73906
1891,61807
1891,95433
1891,51532
1891,26036
1891,69937
1891,83168
1891,89355
1891,111016
1891,29093
1891,67613
1891,83174
1891,42345
1891,72892
1891,8434
1891,68260
1891,43332
1891,8824
1891,6228
1891,82220
1891,79681
1891,3335
1891,63994
1891,62768
1891,67449
1891,73592
1891,71914
1891,70033
1891,47985
1891,25994
1891,31695
1891,44671
1891,91045
1891,108392
1891,44498
1891,86635
1891,113119
1891,73051
1891,46743
1891,33391
1891,149546
1891,98136
1891,145311
1891,94143
1891,122477
1891,134211
1891,127402
1891,135262
1891,136404
1891,30570
1891,115596
1891,83290
1891,142532
1891,88001
1891,1830
1891,146562
1891,28377
1891,5867
1891,146982
1891,83609
1891,69497
1891,77124
1891,93513
1891,57648
1891,113276
1891,33043
1891,76109
1891,63395
1891,38784
1891,19113
1891,27428
1919,1699
1919,18269
1919,12582
1919,20334
1919,34738
1919,50885
1919,18810
2099,54357
2099,53608
2099,53606
2099,53601
2099,7352
2099,55852
2134,5006
2134,7227
2134,15236
2134,18005
2134,25797
2134,48014
2143,11320
2143,51827
2143,15247
2143,55597
2143,15732
2143,2504
2143,25855
2170,51452
2170,52023
2170,49325
2170,52262
2170,53085
2170,25181
2170,53520
2170,53669
2170,48826
2170,55212
2170,56166
2170,29526
2170,58500
2192,585
2192,50083
2192,50340
2192,2796
2192,12056
2221,55939
2221,51538
2221,55953
2221,52190
2221,56067
2221,6067
2221,48826
2221,34763
2221,56688
2221,45174
2221,42265
2221,57807
2221,57809
2221,12854
2221,58194
2221,57736
2221,58279
2221,31658
2221,40119
2221,48643
2221,58838
2230,683
2230,51663
2230,50660
2230,52190
2230,43162
2230,11095
2230,48751
2230,50626
2230,2930
2230,51452
2230,24988
2230,53058
2230,53241
2230,53384
2230,649
2230,29599
2230,53592
2230,48358
2230,27509
2230,55953
2230,4673
2230,56266
2230,56372
2230,56375
2230,56378
2230,56379
2230,57185
2230,57192
2230,46309
2230,12134
2230,57736
2230,57755
2230,57875
2230,58792
2230,58937
2230,59035
2230,12930
2230,4671
2230,7894
2230,39244
2230,61020
2230,41490
2230,61297
2230,61303
2230,49325
2271,2796
2271,3977
2271,6577
2271,12427
2271,27452
2271,48358
2271,49148
2271,84543
2305,57252
2305,58330
2305,57261
2305,57695
2305,57258
2305,57806
2305,58095
2305,57360
2305,58342
2305,54273
2308,60
2308,693
2308,11151
2308,34738
2308,31695
2308,22918
2308,62039
2308,52190
2308,20419
2308,8647
2308,12854
2308,63395
2308,13222
2308,24988
2308,17786
2352,19310
2352,14389
2352,4699
2431,64133
2431,62259
2431,26034
2431,64073
2431,5867
2431,64071
2431,64065
2431,62828
2431,64072
2431,62678
2431,64933
2431,64953
2431,65635
2431,50484
2431,66568
2431,66847
2431,67180
2431,67613
2504,101
2504,2143
2504,5867
2504,62987
2504,53759
2504,24926
2504,44568
2504,63777
2504,15236
2504,6577
2504,14784
2504,62630
2504,19299
2504,25711
2504,64647
2504,1891
2522,1050
2522,1210
2522,3063
2522,3335
2522,24988
2522,2978
2522,15236
2522,3554
2522,3558
2522,11571
2625,974
2625,1886
2625,3568
2625,5895
2625,7970
2625,10372
2625,12427
2625,22146
2625,37967
